what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328017451561
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328017451797
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328017460974
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328017460975
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1328017467953
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328017467953
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1328017478413
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1328017482857
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017487408
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017760705
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017768104
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017778515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017779693
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017826451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017858824
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017865623
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1328017865646
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1328017871253
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1328017871470
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017873890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017875758
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017885152
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017887575
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017893276
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017896957
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328017900804
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328018162509
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328018167734
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328018168106
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1328018176507
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1328018179891
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328018182366
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328018193024
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1328018193091
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328018249410
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1328018264670
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1328018264804
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328018294054
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019082322
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019132409
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019132435
opened,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019132757
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1328019132758
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.newWindow",1328019132772
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1328019134758
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1328019134805
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1328019134808
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1328019134819
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1328019134856
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1328019134895
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019134918
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019135042
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019165414
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019174655
opened,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1328019174943
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1328019175043
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.views.showView",1328019175044
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.views.showView",1328019175044
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019192359
error,log,,,"Unhandled event loop exception",1328019221858
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019222961
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019236807
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019253326
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019270846
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1328019528557
